Difficulty,Category,Question,Option A,Option B,Option C,Correct Answer
Easy,Players,Which player is famous for the SIU celebration?,Lionel Messi,Cristiano Ronaldo,Neymar,Cristiano Ronaldo
Easy,Players,Which player has won the most Ballon dOr awards?,Lionel Messi,Cristiano Ronaldo,Johan Cruyff,Lionel Messi
Easy,Players,Who is the all time top scorer in World Cup history?,Pele,Miroslav Klose,Ronaldo,Miroslav Klose
Easy,Players,Which French forward won the Golden Boot at the 2022 World Cup?,Kylian Mbappe,Karim Benzema,Antoine Griezmann,Kylian Mbappe
Easy,Players,Which country does superstar Lionel Messi play for?,Brazil,Argentina,Spain,Argentina
Easy,Players,Who is famously nicknamed El Pulga (The Flea)?,Neymar,Lionel Messi,Luis Suarez,Lionel Messi
Easy,Players,Which Brazilian legend won three World Cups?,Pele,Ronaldo,Ronaldinho,Pele
Easy,Players,Which country does Neymar represent internationally?,Portugal,Brazil,Colombia,Brazil
Easy,Players,What position does a goalkeeper play?,Defense,Midfield,Goalie,Goalie
Easy,Players,Who was the captain of Argentina during the 2022 World Cup?,Angel Di Maria,Lionel Messi,Rodrigo De Paul,Lionel Messi
Easy,Players,Which English striker won the Golden Boot in 2018?,Harry Kane,Wayne Rooney,Raheem Sterling,Harry Kane
Easy,Players,Which Portuguese star wears the number 7 shirt?,Cristiano Ronaldo,Bruno Fernandes,Joao Felix,Cristiano Ronaldo
Easy,Players,Who scored a famous volley for France in the 2018 final?,Kylian Mbappe,Benjamin Pavard,Paul Pogba,Paul Pogba
Easy,Players,Which Croatian midfielder won the Golden Ball in 2018?,Luka Modric,Ivan Rakitic,Ivan Perisic,Luka Modric
Easy,Players,Which Egyptian forward is a global soccer icon?,Mohamed Salah,Sadio Mane,Riyad Mahrez,Mohamed Salah
Easy,Players,What is the primary job of a forward player?,Score goals,Defend goals,Make saves,Score goals
Easy,Players,Which famous template player is known as King in Sweden?,Zlatan Ibrahimovic,Marcus Berg,Emil Forsberg,Zlatan Ibrahimovic
Easy,Players,Which country does Erling Haaland play for internationally?,Sweden,Norway,Denmark,Norway
Easy,Players,Who was the legendary number 10 for Argentina in 1986?,Diego Maradona,Mario Kempes,Gabriel Batistuta,Diego Maradona
Easy,Players,Which French player won the 1998 Ballon dOr?,Zinedine Zidane,Thierry Henry,Patrick Vieira,Zinedine Zidane
Easy,Players,Which position is allowed to use their hands anywhere on pitch?,Referee,Goalkeeper,Coach,Goalkeeper
Easy,Players,Who is the famous Spanish goalkeeper nicknamed San Iker?,Iker Casillas,David De Gea,Victor Valdes,Iker Casillas
Easy,Players,Which English player famously David Beckham played for?,Manchester United,Real Madrid,Both clubs,Both clubs
Easy,Players,Who is the Belgian midfielder known for incredible assists?,Kevin De Bruyne,Eden Hazard,Romelu Lukaku,Kevin De Bruyne
Easy,Teams,Which country has won the most World Cup titles?,Brazil,Germany,Italy,Brazil
Easy,Teams,Who won the 2022 World Cup?,Argentina,France,Croatia,Argentina
Easy,Teams,Which team is known as the Three Lions?,England,France,Spain,England
Easy,Teams,Which European country won its first World Cup title in 2010?,Spain,Netherlands,Portugal,Spain
Easy,Teams,What color jersey does the Italian national team traditionally wear?,Blue,Red,Green,Blue
Easy,Teams,Which South American country won the first World Cup in 1930?,Brazil,Uruguay,Argentina,Uruguay
Easy,Teams,Which country wears a famous vibrant orange jersey?,Germany,Netherlands,Belgium,Netherlands
Easy,Teams,Which host nation has automatically qualified for the 2026 edition?,Canada,Italy,England,Canada
Easy,Teams,How many stars are currently on the Brazil national team badge?,4,5,6,5
Easy,Teams,Which country is nicknamed Les Bleus?,Belgium,France,Italy,France
Easy,Teams,Which country won the World Cup on home soil in 1998?,France,Brazil,Germany,France
Easy,Teams,Which Asian nation has qualified for the most World Cups?,Japan,South Korea,Saudi Arabia,South Korea
Easy,Teams,What color is the main shirt of the German national team?,White,Green,Black,White
Easy,Teams,Which North American country is nicknamed El Tri?,USA,Canada,Mexico,Mexico
Easy,Teams,Which African nation wears a green shirt with a white eagle?,Nigeria,Ghana,Cameroon,Nigeria
Easy,Teams,Which country won the World Cup tournament in 2006?,France,Italy,Germany,Italy
Easy,Teams,Which European country won the World Cup in 1966?,England,Germany,France,England
Easy,Teams,Which country is famously nicknamed the Socceroos?,New Zealand,Australia,South Africa,Australia
Easy,Teams,Which national team is known as La Roja?,Spain,Argentina,Portugal,Spain
Easy,Teams,Which team did Argentina beat in the 2022 final match?,France,Croatia,Morocco,France
Easy,Teams,How many times has Germany won the World Cup?,3,4,5,4
Easy,Teams,Which South American country shares a massive soccer rivalry with Brazil?,Chile,Colombia,Argentina,Argentina
Easy,Teams,Which country hosted and won the 1978 World Cup?,Brazil,Argentina,Uruguay,Argentina
Easy,Teams,Which country is known for its Samurai Blue national team?,China,Japan,South Korea,Japan
Medium,Players,Who won the Golden Ball at the 2014 World Cup?,Lionel Messi,Thomas Muller,James Rodriguez,Lionel Messi
Medium,Players,Who scored the famous Hand of God goal?,Diego Maradona,Pele,Lionel Messi,Diego Maradona
Medium,Players,Which player has the most World Cup appearances?,Lothar Matthaus,Lionel Messi,Paolo Maldini,Lionel Messi
Medium,Players,Who was the first player to score in five different World Cups?,Pele,Miroslav Klose,Cristiano Ronaldo,Cristiano Ronaldo
Medium,Players,Who was the top scorer of the 2018 World Cup in Russia?,Harry Kane,Antoine Griezmann,Romelu Lukaku,Harry Kane
Medium,Players,Which player won the Best Young Player award at the 2022 World Cup?,Enzo Fernandez,Jude Bellingham,Pedri,Enzo Fernandez
Medium,Players,Who scored the fastest hat-trick in World Cup history?,Laszlo Kiss,Gabriel Batistuta,Pele,Laszlo Kiss
Medium,Players,Which goalkeeper kept five clean sheets for Italy in 2006?,Gianluigi Buffon,Francesco Toldo,Dino Zoff,Gianluigi Buffon
